NO_CIV_LIE,PREFIX_TEM,NOM_TEMP,DIR_TEMP,MUN_TEMP,DESC_LIEU,Longitude,Latitude
4139,BOUL,SOURCES DES,,DDO,POSTE DE QUARTIER 4,-73.8073036447459,45.4943798291766
8930,BOUL,PIE-IX,,MTL,POSTE DE QUARTIER 30,-73.6174326903079,45.5777443422343
4555,RUE,HOCHELAGA,,MTL,POSTE DE QUARTIER 23,-73.5459153453899,45.5568663103657
11756,BOUL,O'BRIEN,,MTL,POSTE DE QUARTIER 10,-73.7010286143129,45.5285425607449
1435,AVEN,VAN-HORNE,,OUT,POSTE DE QUARTIER 24,-73.6156124547723,45.5201096895237
6100,BOUL,HENRI-BOURASSA,,MTN,POSTE DE QUARTIER 39,-73.6156245542061,45.6077238746004
395,BOUL,ST-JEAN,,PCL,POSTE DE QUARTIER 5,-73.8158977983426,45.4478835032369
21,STRE,STANTON,,WES,POSTE DE QUARTIER 12,-73.598653723254,45.4864023936555
1625,AVEN,EGLISE DE L',,MTL,POSTE DE QUARTIER 15,-73.5849557979161,45.4637181227426
1498,BOUL,ST-JEAN-BAPTISTE,,MTL,POSTE DE QUARTIER 49,-73.5054298850668,45.6416161312336
920,RUE,BELANGER,,MTL,POSTE DE QUARTIER 35,-73.6090972894346,45.5397661437488
1761,RUE,GRENET,,VSL,POSTE DE QUARTIER 7,-73.6966809551302,45.518368178185
2883,BOUL,ST-CHARLES,,KIR,POSTE DE QUARTIER 1,-73.8522917110493,45.4473310601409
170,AVEN,15E,,LAC,POSTE DE QUARTIER 8,-73.6771392798336,45.4344197303928
6850,BOUL,JOSEPH-RENAUD,,ANJ,POSTE DE QUARTIER 46,-73.5529900198344,45.6050401982457
5501,AVEN,WESTMINSTER,,CSL,POSTE DE QUARTIER 9,-73.6621419052295,45.4597901273956
1180,RUE,STE-ELISABETH,,MTL,POSTE DE QUARTIER 21,-73.5601337518058,45.5112416751005
1033,RUE,RACHEL,E,MTL,POSTE DE QUARTIER 38,-73.575236707223,45.5255346195373
8745,BOUL,LASALLE,,LAS,POSTE DE QUARTIER 13,-73.6216656538192,45.4155086330148
1200,AVEN,PAPINEAU,,MTL,POSTE DE QUARTIER 22,-73.550962822843,45.5217000888756
4807,RUE,MOLSON,,MTL,POSTE DE QUARTIER 44,-73.5692858216987,45.5423592306542
1805,RUE,FLEURY,E,MTL,POSTE DE QUARTIER 27,-73.6536159662469,45.5685789821901
750,RUE,WILLIBRORD,,VER,POSTE DE QUARTIER 16,-73.5733515181626,45.4592310780139
570,AVEN,BEAUMONT,,MTL,POSTE DE QUARTIER 33,-73.6194944996858,45.5269525921751
6255,AVEN,SOMERLED,,MTL,POSTE DE QUARTIER 11,-73.6354987195678,45.4711510889533
14680,BOUL,PIERREFONDS DE,,PRF,POSTE DE QUARTIER 3,-73.8571745533084,45.4861322215439
8200,BOUL,MAURICE-DUPLESSIS,,MTL,POSTE DE QUARTIER 45,-73.5864388487326,45.6333113678286
7920,BOUL,ST-LAURENT,,MTL,POSTE DE QUARTIER 31,-73.6288559662068,45.5377446926645
1432,RUE,STE-CATHERINE,O,MTL,POSTE DE QUARTIER 20,-73.5765340060085,45.4961250236852
6680,RUE,SHERBROOKE,E,MTL,POSTE DE QUARTIER 48,-73.5423846150742,45.5833913324719
8181,BOUL,LACORDAIRE,,STL,POSTE DE QUARTIER 42,-73.5941248280603,45.5853291546192
7405,AVEN,MOUNTAIN SIGHTS,,MTL,POSTE DE QUARTIER 26,-73.6516451208292,45.4961070808435
